2026-04-28 13:37:28,601 - INFO - User: Senior_Doctor | Action: LOGIN | IP: 127.0.0.1 | Details: Logged in via OTP
2026-04-28 14:12:59,011 - INFO - User: Senior_Doctor | Action: LOGOUT | IP: 127.0.0.1 | Details: Logged out
2026-04-28 14:13:26,577 - INFO - User: Subhash | Action: LOGIN | IP: 127.0.0.1 | Details: Logged in via OTP
2026-04-28 14:13:33,793 - INFO - User: Subhash | Action: LOGOUT | IP: 127.0.0.1 | Details: Logged out
2026-04-28 14:14:34,779 - INFO - User: Subhash | Action: LOGIN | IP: 127.0.0.1 | Details: Logged in via OTP
2026-04-28 14:14:58,170 - INFO - User: Subhash | Action: LOGOUT | IP: 127.0.0.1 | Details: Logged out
2026-04-28 19:59:52,209 - INFO - User: Abhishek | Action: LOGIN | IP: 127.0.0.1 | Details: Logged in via OTP
2026-04-28 20:50:21,861 - INFO - User: Abhishek | Action: LOGIN | IP: 127.0.0.1 | Details: Logged in via OTP
2026-04-28 20:54:30,243 - INFO - User: Abhishek | Action: LOGIN | IP: 127.0.0.1 | Details: Logged in via OTP
2026-04-28 21:09:08,727 - INFO - User: Abhishek | Action: LOGIN | IP: 127.0.0.1 | Details: Logged in via OTP
2026-04-28 22:00:51,324 - INFO - User: Abhishek | Action: LOGIN | IP: 127.0.0.1 | Details: Logged in via OTP
